seed,query_id,bm25_top,dense_top,oracle_top,oracle_score,oracle_beats_dense,oracle_beats_bm25
7,s7_q000,s7_d0000,s7_d0020,s7_d0095,1.1705,True,True
7,s7_q001,s7_d0006,s7_d0081,s7_d0066,1.3289,True,True
7,s7_q002,s7_d0017,s7_d0032,s7_d0132,1.3371,True,True
7,s7_q003,s7_d0003,s7_d0038,s7_d0133,1.4181,True,True
7,s7_q004,s7_d0014,s7_d0069,s7_d0014,1.4701,True,False
7,s7_q005,s7_d0000,s7_d0115,s7_d0040,1.255,True,True
7,s7_q006,s7_d0011,s7_d0006,s7_d0106,1.2479,True,True
7,s7_q007,s7_d0022,s7_d0037,s7_d0107,1.3744,True,True
7,s7_q008,s7_d0028,s7_d0117,s7_d0117,1.1324,False,True
7,s7_q009,s7_d0004,s7_d0124,s7_d0119,1.2142,True,True
7,s7_q010,s7_d0085,s7_d0135,s7_d0065,1.6418,True,True
7,s7_q011,s7_d0001,s7_d0121,s7_d0026,1.5385,True,True
7,s7_q012,s7_d0002,s7_d0087,s7_d0092,1.3294,True,True
7,s7_q013,s7_d0002,s7_d0128,s7_d0093,1.1651,True,True
7,s7_q014,s7_d0004,s7_d0149,s7_d0039,1.2442,True,True
7,s7_q015,s7_d0000,s7_d0020,s7_d0095,1.1705,True,True
7,s7_q016,s7_d0006,s7_d0081,s7_d0066,1.3289,True,True
7,s7_q017,s7_d0017,s7_d0032,s7_d0132,1.3371,True,True
11,s11_q000,s11_d0010,s11_d0115,s11_d0030,1.2549,True,True
11,s11_q001,s11_d0006,s11_d0006,s11_d0041,1.4483,True,True
11,s11_q002,s11_d0047,s11_d0112,s11_d0057,1.4608,True,True
11,s11_q003,s11_d0028,s11_d0043,s11_d0118,1.3684,True,True
11,s11_q004,s11_d0004,s11_d0069,s11_d0104,1.4038,True,True
11,s11_q005,s11_d0000,s11_d0120,s11_d0130,1.4371,True,True
11,s11_q006,s11_d0026,s11_d0101,s11_d0026,1.5984,True,False
11,s11_q007,s11_d0007,s11_d0107,s11_d0117,1.1802,True,True
11,s11_q008,s11_d0003,s11_d0082,s11_d0082,1.1512,False,True
11,s11_q009,s11_d0004,s11_d0124,s11_d0014,1.4788,True,True
11,s11_q010,s11_d0015,s11_d0050,s11_d0045,1.0942,True,True
11,s11_q011,s11_d0001,s11_d0111,s11_d0081,1.6088,True,True
11,s11_q012,s11_d0002,s11_d0092,s11_d0027,1.3008,True,True
11,s11_q013,s11_d0002,s11_d0108,s11_d0133,1.2832,True,True
11,s11_q014,s11_d0009,s11_d0064,s11_d0039,1.1229,True,True
11,s11_q015,s11_d0010,s11_d0115,s11_d0030,1.2549,True,True
11,s11_q016,s11_d0006,s11_d0006,s11_d0041,1.4483,True,True
11,s11_q017,s11_d0047,s11_d0112,s11_d0057,1.4608,True,True
19,s19_q000,s19_d0000,s19_d0135,s19_d0105,1.4519,True,True
19,s19_q001,s19_d0011,s19_d0076,s19_d0066,1.3619,True,True
19,s19_q002,s19_d0002,s19_d0042,s19_d0027,1.2285,True,True
19,s19_q003,s19_d0023,s19_d0028,s19_d0078,1.3061,True,True
19,s19_q004,s19_d0009,s19_d0109,s19_d0054,1.1129,True,True
19,s19_q005,s19_d0000,s19_d0055,s19_d0040,1.1058,True,True
19,s19_q006,s19_d0001,s19_d0101,s19_d0066,1.4941,True,True
19,s19_q007,s19_d0037,s19_d0062,s19_d0052,1.2793,True,True
19,s19_q008,s19_d0003,s19_d0007,s19_d0122,1.0602,True,True
19,s19_q009,s19_d0009,s19_d0149,s19_d0119,1.6435,True,True
19,s19_q010,s19_d0005,s19_d0070,s19_d0130,1.5554,True,True
19,s19_q011,s19_d0021,s19_d0026,s19_d0026,1.3026,False,True
19,s19_q012,s19_d0012,s19_d0087,s19_d0097,1.3926,True,True
19,s19_q013,s19_d0012,s19_d0068,s19_d0093,1.3143,True,True
19,s19_q014,s19_d0004,s19_d0114,s19_d0019,1.2378,True,True
19,s19_q015,s19_d0000,s19_d0135,s19_d0105,1.4519,True,True
19,s19_q016,s19_d0011,s19_d0076,s19_d0066,1.3619,True,True
19,s19_q017,s19_d0002,s19_d0042,s19_d0027,1.2285,True,True
